,POSITIVE,NEGATIVE
watching,396,106
emphasis,29,4
majesty,18,1
gangster,52,11
pity,18,16
hatred,18,2
towards,64,11
alien,156,14
midst,26,1
recognises,2,0
ignition,1,0
criminality,5,0
justifies,13,4
extravagant,22,1
running,147,26
graphic,45,5
was—unlike,1,0
on—no,1,0
exercise,105,42
popcorn,109,7
sensationalism,11,3
emotionally,300,16
tragic,110,8
melancholy,95,4
grownup,78,1
doomy,2,0
burnish,2,0
gordon,30,3
willis,19,15
capture,267,7
corleones,5,0
effect,461,113
flatout,32,2
mesmeric,3,0
influential,60,0
quoted,5,0
beloved,107,14
discussed,17,0
imitated,26,0
five,82,21
later,141,11
resonates,41,0
paradigm,11,0
shift,57,4
generation,230,14
next,264,45
influence,71,3
foundation,27,7
lasting,39,1
mythology,55,7
introduced,15,1
exchange,20,3
word,330,76
inform,10,0
marlon,31,0
brando,52,1
bravura,38,0
dustyvoice,1,0
title,205,94
sicilian,2,0
harvest,3,0
favour,12,6
comer,3,0
paid,28,9
back,660,77
redefined,16,0
concept,126,35
mob,22,9
standing,35,4
artistically,22,4
partly,20,3
distinct,39,5
deep,219,12
brown,33,3
black,511,32
tint,4,2
reminiscent,26,1
caravaggioviolence,1,0
indelibly,9,0
massive,52,6
engineering,8,1
studio,295,42
intimate,172,2
highlighted,11,1
closeup,36,4
staging,21,3
void,10,9
creates,133,4
supporting,121,17
marvel,660,28
including,97,14
diane,13,23
keaton,45,47
pacinos,17,3
bewildered,8,3
fiancee,1,0
robert,200,21
duvall,3,0
brandos,24,0
secondincommand,1,0
caan,2,1
headstrong,5,0
brother,195,14
al,32,15
martino,1,0
patterned,1,0
frank,86,2
sinatra,4,0
despite,355,71
limited,28,9
presence,75,11
overpowers,1,0
ruthless,27,2
lord,96,10
meaning,127,24
maybe,193,54
handful,37,5
fully,194,20
stillness,12,1
repose,3,0
tentativeness,1,0
term,208,16
impact,126,10
threehour,50,5
thunder,24,4
90,56,26
becomes,217,48
among,299,27
superflicks,2,0
